                                                                         file  Avg_wall_time_s  mean_fdr_bh_0.05  mean_power_bh_0.05  mean_fdr_by_0.05  mean_power_by_0.05  mean_fdr_bh_0.1  mean_power_bh_0.1  mean_fdr_by_0.1  mean_power_by_0.1  mean_fdr_lct_0.05  mean_power_lct_0.05  mean_fdr_lct_0.1  mean_power_lct_0.1  mean_fdr_lctb_0.05_B100  mean_power_lctb_0.05_B100  mean_fdr_lctb_0.1_B100  mean_power_lctb_0.1_B100    model     p    n1    n2  rho  block  reps  mean_fdr_lct_cai_liu_0.05  mean_power_lct_cai_liu_0.05  mean_fdr_lct_cai_liu_0.1  mean_power_lct_cai_liu_0.1  mean_fdr_lct_gaussian_0.05  mean_power_lct_gaussian_0.05  mean_fdr_lct_gaussian_0.1  mean_power_lct_gaussian_0.1  mean_fdr_lct_jackknife_0.05  mean_power_lct_jackknife_0.05  mean_fdr_lct_jackknife_0.1  mean_power_lct_jackknife_0.1
                    results/tables/exp_p250_n80_80_rho0.3_b20_R20_rate1.0.csv         9.142670          0.000000            0.000000          0.000000            0.000000         0.000000           0.000000         0.000000           0.000000           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000      exp 250.0  80.0  80.0 0.30   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/exp_p250_n80_80_rho0.7_b20_R20_rate1.0.csv         2.444096          0.000000            0.872105          0.000000            0.713421         0.000370           0.904737         0.000000           0.765789           0.000000             0.046316          0.000000            0.100000                 0.000000                   0.046316                0.000000                  0.103421      exp 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                 results/tables/exp_p500_n120_120_rho0.65_b20_R20_rate1.0.csv        23.413358          0.000000            0.932105          0.000000            0.779211         0.000000           0.956053         0.000000           0.827632           0.000000             0.044737          0.000000            0.082632                 0.000000                   0.059474                0.000000                  0.093421      exp 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/exp_p500_n80_80_rho0.25_b20_R20_rate1.0.csv        76.713891          0.000000            0.000000          0.000000            0.000000         0.000000           0.000000         0.000000           0.000000           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000      exp 500.0  80.0  80.0 0.25   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                       results/tables/gaussian_p250_n80_80_rho0.3_b20_R20.csv         9.862415          0.000000            0.005526          0.000000            0.000000         0.064692           0.012105         0.000000           0.000526           0.091667             0.002368          0.165476            0.004211                 0.075000                   0.001579                0.108333                  0.002632 gaussian 250.0  80.0  80.0 0.30   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                       results/tables/gaussian_p250_n80_80_rho0.7_b20_R20.csv         2.898909          0.054098            0.961579          0.006089            0.870000         0.108886           0.975263         0.010842           0.908421           0.065581             0.656053          0.135640            0.761316                 0.052427                   0.613421                0.101759                  0.717895 gaussian 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/gaussian_p500_n120_120_rho0.65_b20_R20.csv        24.125386          0.059976            0.965789          0.008958            0.888947         0.116699           0.979474         0.017026           0.920526           0.069029             0.758421          0.129839            0.827368                 0.055494                   0.733684                0.113733                  0.808158 gaussian 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/gaussian_p500_n80_80_rho0.25_b20_R20.csv        77.519273          0.037500            0.000263          0.000000            0.000000         0.080000           0.000526         0.000000           0.000000           0.125000             0.000263          0.140000            0.000263                 0.050000                   0.000000                0.140000                  0.000263 gaussian 500.0  80.0  80.0 0.25   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
    results/tables/laplace_p250_n80_80_rho0.3_b20_R20_b0.7071067811865475.csv         9.053966          0.000000            0.000000          0.000000            0.000000         0.000000           0.000000         0.000000           0.000000           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000  laplace 250.0  80.0  80.0 0.30   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
    results/tables/laplace_p250_n80_80_rho0.7_b20_R20_b0.7071067811865475.csv         2.298225          0.000000            0.962105          0.000000            0.885000         0.000000           0.977895         0.000000           0.912895           0.000000             0.186053          0.000000            0.325526                 0.000000                   0.173684                0.000000                  0.292105  laplace 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
 results/tables/laplace_p500_n120_120_rho0.65_b20_R20_b0.7071067811865475.csv        23.069208          0.000000            0.993421          0.000000            0.943684         0.000000           0.996053         0.000000           0.966579           0.000000             0.270526          0.000000            0.425000                 0.000000                   0.298421                0.000000                  0.437105  laplace 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
   results/tables/laplace_p500_n80_80_rho0.25_b20_R20_b0.7071067811865475.csv        77.669458          0.000000            0.000000          0.000000            0.000000         0.000000           0.000000         0.000000           0.000000           0.000000             0.000000          0.000000            0.000000                 0.000000                   0.000000                0.000000                  0.000000  laplace 500.0  80.0  80.0 0.25   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                               results/tables/nullcal_exp_p250_n80_80_R30.csv         4.244047               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
